,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,1744304,"Примера, 1-й тур, регулярный сезон, 14.08.2022 23:00",14.08.2022 23:00,Альмерия,1,Реал Мадрид,2,+31°C,солнечно,7.5,5.1,1.39,2.45,1.5,10,10,(170) 7.1,4.0 (96),50%   5,5   50%,20%   2,3   30%,30%   3,2   20%,17,17,12,6,1.70,1.70,1.20,0.60,40%   4,5   50%,60%   6,3   30%,60%   6,3   30%,40%   4,7   70%,15.50,14.20,9.75,14.10,5.50,5.50,3.50,4.40,57.00,54.30,43.00,45.70,6.75,4.30,1.75,5.70,12.25,9.50,12.75,12.80,2.50,2.20,4.25,2.00,2.00,1.60,4.25,1.70,0,0,0,0
1,1744305,"Примера, 1-й тур, регулярный сезон, 15.08.2022 20:30",15.08.2022 20:30,Хетафе,0,Атлетико Мадрид,3,+32°C,солнечно,6.05,3.22,1.9,1.36,2.94,10,10,(190) 7.9,8.0 (192),10%   1,7   70%,50%   5,2   20%,40%   4,1   10%,5,19,10,5,0.50,1.90,1.00,0.50,30%   3,6   60%,40%   4,3   30%,20%   2,4   40%,80%   8,6   60%,6.88,11.40,9.38,9.90,2.13,4.10,2.63,3.00,36.50,47.60,63.50,52.40,2.13,4.60,4.25,4.30,18.43,12.30,14.43,14.30,0.75,2.20,2.75,1.00,2.25,2.00,2.25,3.00,0.13,0,0,0.10
2,1744306,"Примера, 1-й тур, регулярный сезон, 13.08.2022 20:00",13.08.2022 20:00,Реал Вальядолид,0,Вильярреал,3,+26°C,солнечно,3.44,3.45,2.13,1.81,2.06,10,10,(165) 6.9,6.9 (165),70%   7,7   70%,30%   3,2   20%,0,1   10%,13,19,3,9,1.30,1.90,0.30,0.90,70%   7,3   30%,30%   3,7   70%,40%   4,5   50%,60%   6,5   50%,13.17,8.60,9.00,9.70,4.17,3.80,2.33,3.90,58.33,43.60,41.67,56.40,6.33,2.30,3.00,4.90,14.75,13.38,16.50,11.88,2.00,0.80,1.00,3.20,1.17,0.90,2.33,2.20,0.17,0,0.33,0
3,1744307,"Примера, 1-й тур, регулярный сезон, 14.08.2022 20:30",14.08.2022 20:30,Валенсия,1,Жирона,0,+28°C,переменная облачность,1.92,3.5,4.15,1.83,2.04,10,10,(189) 7.9,7.0 (167),40%   4,4   40%,30%   3,3   30%,30%   3,3   30%,13,13,13,10,1.30,1.30,1.30,1.00,30%   3,5   50%,50%   5,4   40%,40%   4,3   30%,60%   6,7   70%,12.30,9.29,9.00,12.43,4.20,2.57,4.30,4.43,48.40,52.50,51.60,47.50,4.30,4.71,3.10,4.86,17.29,15.50,15.14,16.50,1.20,1.75,2.80,1.25,1.70,2.14,2.40,2.29,0.10,0,0,0.14
4,1744308,"Примера, 2-й тур, регулярный сезон, 21.08.2022 18:30",21.08.2022 18:30,Атлетик Бильбао,1,Валенсия,0,+22°C,переменная облачность,1.68,3.78,5.25,1.76,2.13,10,10,(143) 6.0,6.9 (165),40%   4,5   50%,30%   3,2   20%,30%   3,3   30%,13,14,7,13,1.30,1.40,0.70,1.30,40%   4,3   30%,40%   4,5   50%,30%   3,4   40%,70%   7,6   60%,12.11,13.60,7.22,8.50,4.33,4.30,1.78,3.90,50.50,49.40,49.50,50.60,6.11,4.50,3.11,3.10,11.50,16.71,14.17,15.29,1.75,1.40,1.25,2.60,0.67,1.70,2.11,2.30,0.11,0.10,0.11,0
5,1744309,"Примера, 2-й тур, регулярный сезон, 21.08.2022 20:30",21.08.2022 20:30,Атлетико Мадрид,0,Вильярреал,2,+34°C,солнечно,2.0,3.5,4.6,1.86,2.15,10,10,(143) 6.0,2.9 (69),80%   8,8   80%,10%   1,2   20%,10%   1,0,22,23,5,9,2.20,2.30,0.50,0.90,60%   6,3   30%,30%   3,7   70%,50%   5,6   60%,50%   5,4   40%,10.40,9.30,10.20,8.80,4.50,4.20,2.80,3.90,47.00,48.40,53.00,51.60,4.10,2.90,4.50,4.40,13.30,12.88,14.50,10.50,2.60,0.80,0.90,2.80,1.70,0.60,2.70,2.10,0,0,0.10,0
6,1744310,"Примера, 2-й тур, регулярный сезон, 20.08.2022 23:00",20.08.2022 23:00,Сельта,1,Реал Мадрид,4,+29°C,солнечно,5.3,4.25,1.6,2.21,1.71,10,10,(172) 7.2,6.0 (143),20%   2,5   50%,40%   4,3   30%,40%   4,2   20%,12,16,14,6,1.20,1.60,1.40,0.60,20%   2,5   50%,60%   6,3   30%,40%   4,3   30%,60%   6,7   70%,11.44,15.80,10.11,13.60,4.56,6.50,3.56,4.10,57.86,56.50,42.14,43.50,4.56,5.50,3.00,5.00,14.00,8.50,14.38,12.10,2.29,2.20,0.86,2.00,2.22,1.30,2.78,1.70,0.11,0,0.11,0
7,1744311,"Примера, 2-й тур, регулярный сезон, 19.08.2022 21:00",19.08.2022 21:00,Эспаньол,0,Райо Вальекано,2,+24°C,переменная облачность,2.6,2.88,3.15,1.58,2.47,10,10,(146) 6.1,5.9 (142),20%   2,2   20%,50%   5,4   40%,30%   3,4   40%,9,11,11,18,0.90,1.10,1.10,1.80,50%   5,3   30%,40%   4,6   60%,30%   3,6   60%,70%   7,4   40%,7.89,12.14,12.33,13.71,3.56,4.57,4.33,4.71,51.00,49.00,49.00,51.00,3.67,4.57,5.33,3.86,15.00,12.17,15.50,13.67,1.00,2.80,1.00,1.40,1.89,2.14,1.78,1.43,0.11,0,0,0.14
8,1744312,"Примера, 2-й тур, регулярный сезон, 19.08.2022 23:00",19.08.2022 23:00,Севилья,1,Реал Вальядолид,1,+40°C,солнечно,1.51,4.15,6.8,1.91,1.95,10,10,(168) 7.0,6.1 (146),40%   4,6   60%,30%   3,3   30%,30%   3,1   10%,12,11,12,6,1.20,1.10,1.20,0.60,40%   4,6   60%,40%   4,3   30%,30%   3,5   50%,70%   7,5   50%,9.70,13.00,11.70,9.17,3.20,4.33,4.10,2.67,61.83,57.00,38.17,43.00,4.10,6.50,4.20,3.00,12.71,12.50,15.71,16.00,1.67,2.33,1.67,0.67,2.10,1.17,1.90,2.17,0,0.17,0,0.33
9,1744313,"Примера, 2-й тур, регулярный сезон, 21.08.2022 23:00",21.08.2022 23:00,Реал Сосьедад,1,Барселона,4,+36°C,солнечно,3.8,3.68,2.14,2.01,1.99,10,10,(171) 7.1,8.0 (192),50%   5,5   50%,10%   1,4   40%,40%   4,1   10%,12,21,9,7,1.20,2.10,0.90,0.70,30%   3,6   60%,50%   5,3   30%,50%   5,4   40%,50%   5,6   60%,9.78,17.60,7.67,6.10,5.11,6.50,2.78,2.10,56.25,65.10,43.75,34.90,3.89,7.50,5.33,1.60,16.25,12.50,10.75,10.20,1.00,2.00,4.00,2.40,2.22,1.40,1.89,1.40,0.11,0.10,0,0.10
