,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,1736220,"Премьер-Лига, 1-й тур, регулярный сезон, 06.08.2022 14:30",06.08.2022 14:30,Фулхэм,2,Ливерпуль,2,+17°C,небольшой дождь,11.0,6.35,1.27,2.66,1.43,10,10,(140) 5.8,5.7 (136),40%   4,6   60%,20%   2,0,40%   4,4   40%,19,15,15,12,1.9,1.5,1.5,1.2,30%   3,3   30%,50%   5,3   30%,60%   6,6   60%,40%   4,4   40%,6.22,19.4,4.78,7.5,5.22,6.1,3.44,3.4,61.6,58.5,38.4,41.5,4.78,6.0,3.33,2.4,14.38,9.6,14.75,8.7,2.33,2.0,2.83,2.2,0.78,0.4,0.44,0.6,0.0,0.0,0.0,0.0
1,1736221,"Премьер-Лига, 1-й тур, регулярный сезон, 06.08.2022 17:00",06.08.2022 17:00,Борнмут,2,Астон Вилла,0,+18°C,переменная облачность,3.95,3.45,2.03,1.78,2.1,10,10,(167) 7.0,6.9 (166),50%   5,5   50%,20%   2,3   30%,30%   3,2   20%,16,18,10,11,1.6,1.8,1.0,1.1,40%   4,3   30%,50%   5,7   70%,60%   6,6   60%,40%   4,4   40%,6.63,10.89,4.0,11.56,4.38,4.33,2.75,4.11,51.17,46.83,48.83,53.17,5.0,5.0,4.5,5.33,9.83,11.25,13.67,13.5,1.4,1.67,3.17,1.0,0.38,1.22,0.25,1.11,0.0,0.0,0.0,0.11
2,1736222,"Премьер-Лига, 1-й тур, регулярный сезон, 06.08.2022 17:00",06.08.2022 17:00,Лидс,2,Вулверхэмптон,1,+16°C,переменная облачность,2.41,3.55,2.95,1.93,1.93,10,10,(140) 5.8,5.8 (139),40%   4,4   40%,20%   2,3   30%,40%   4,3   30%,17,20,16,11,1.7,2.0,1.6,1.1,10%   1,3   30%,60%   6,7   70%,70%   7,7   70%,30%   3,3   30%,11.0,9.71,11.89,12.0,4.56,4.0,4.67,3.14,42.2,50.5,57.8,49.5,4.67,3.57,3.89,3.57,12.17,4.0,12.0,8.0,1.2,0.5,1.2,1.5,1.33,1.71,2.0,1.86,0.22,0.0,0.11,0.0
3,1736223,"Премьер-Лига, 1-й тур, регулярный сезон, 07.08.2022 16:00",07.08.2022 16:00,Лестер Сити,2,Брентфорд,2,+17°C,переменная облачность,1.91,3.78,4.05,1.95,1.91,10,10,(163) 6.8,7.9 (190),70%   7,6   60%,20%   2,1   10%,10%   1,3   30%,27,16,10,13,2.7,1.6,1.0,1.3,30%   3,4   40%,70%   7,5   50%,80%   8,7   70%,20%   2,3   30%,11.75,13.0,7.75,12.2,5.25,4.8,2.75,5.0,52.0,54.0,48.0,46.0,6.13,4.2,3.25,5.4,10.0,10.33,9.2,10.0,1.25,0.33,1.75,2.0,0.38,1.0,1.63,0.6,0.0,0.2,0.0,0.4
4,1736224,"Премьер-Лига, 1-й тур, регулярный сезон, 06.08.2022 17:00",06.08.2022 17:00,Ньюкасл,2,Ноттингем Форест,0,+17°C,переменная облачность,1.58,4.2,6.1,1.91,1.95,10,10,(167) 7.0,6.8 (164),60%   6,5   50%,0,3   30%,40%   4,2   20%,17,12,13,11,1.7,1.2,1.3,1.1,30%   3,3   30%,40%   4,6   60%,60%   6,5   50%,40%   4,5   50%,8.22,6.14,11.67,6.71,3.78,3.86,4.89,3.29,40.75,46.33,59.25,53.67,4.67,3.86,6.78,4.0,13.0,16.17,11.0,10.0,4.75,1.0,2.0,1.0,1.11,0.57,1.22,0.43,0.11,0.0,0.0,0.0
5,1736225,"Премьер-Лига, 1-й тур, регулярный сезон, 06.08.2022 17:00",06.08.2022 17:00,Тоттенхэм,4,Саутгемптон,1,+17°C,небольшой дождь,1.38,5.3,8.2,2.34,1.64,10,10,(162) 6.8,7.0 (167),60%   6,1   10%,30%   3,3   30%,10%   1,6   60%,22,10,8,19,2.2,1.0,0.8,1.9,40%   4,2   20%,50%   5,7   70%,50%   5,8   80%,50%   5,2   20%,12.67,10.67,10.89,11.56,4.89,3.78,2.33,4.0,53.13,45.4,46.88,54.6,4.44,4.56,5.22,4.56,10.0,8.67,10.5,12.0,2.0,1.6,0.63,1.8,1.33,0.67,2.0,0.44,0.0,0.0,0.11,0.0
6,1736226,"Премьер-Лига, 1-й тур, регулярный сезон, 06.08.2022 19:30",06.08.2022 19:30,Эвертон,0,Челси,1,+17°C,пасмурно,6.75,4.3,1.61,1.84,2.18,10,10,(188) 7.8,7.3 (174),50%   5,5   50%,10%   1,2   20%,40%   4,3   30%,16,16,19,11,1.6,1.6,1.9,1.1,30%   3,3   30%,50%   5,6   60%,70%   7,6   60%,30%   3,4   40%,8.78,16.09,13.44,8.55,3.78,6.09,5.44,2.55,36.4,63.0,63.6,37.0,4.89,5.55,6.11,2.73,10.57,12.0,11.14,10.27,0.6,2.18,1.8,1.18,1.33,1.82,1.22,1.45,0.22,0.0,0.0,0.09
7,1736227,"Премьер-Лига, 1-й тур, регулярный сезон, 07.08.2022 16:00",07.08.2022 16:00,Ман Юнайтед,1,Брайтон,2,+17°C,умеренный или сильный ливневый дождь,1.75,3.94,4.75,1.95,1.91,10,10,(165) 6.9,7.9 (190),40%   4,6   60%,30%   3,3   30%,30%   3,1   10%,18,24,12,8,1.8,2.4,1.2,0.8,20%   2,3   30%,50%   5,6   60%,60%   6,7   70%,40%   4,3   30%,11.6,13.5,12.3,11.13,4.4,5.5,3.8,3.13,57.3,48.4,42.7,48.4,3.9,4.25,5.4,4.75,11.4,9.71,11.1,9.86,2.3,1.4,1.9,1.6,1.4,0.75,1.4,1.13,0.2,0.0,0.0,0.0
8,1736228,"Премьер-Лига, 1-й тур, регулярный сезон, 07.08.2022 18:30",07.08.2022 18:30,Вест Хэм,0,Ман Сити,2,+17°C,небольшой дождь,8.5,5.55,1.42,2.47,1.49,10,10,(190) 7.9,7.9 (190),30%   3,7   70%,50%   5,1   10%,20%   2,2   20%,15,28,12,15,1.5,2.8,1.2,1.5,30%   3,3   30%,70%   7,7   70%,50%   5,9   90%,50%   5,1   10%,7.67,18.8,12.83,10.4,3.0,6.4,4.17,3.5,45.0,63.2,55.0,42.4,4.67,7.2,5.67,3.4,10.6,9.3,11.2,9.9,1.33,1.8,0.67,2.4,1.33,1.2,0.67,1.8,0.0,0.0,0.0,0.0
9,1736229,"Премьер-Лига, 2-й тур, регулярный сезон, 13.08.2022 17:00",13.08.2022 17:00,Арсенал,4,Лестер Сити,2,+17°C,небольшой дождь,1.61,4.65,6.05,2.34,1.74,10,10,(186) 7.8,6.0 (144),80%   8,6   60%,0,3   30%,20%   2,1   10%,33,26,10,12,3.3,2.6,1.0,1.2,40%   4,2   20%,50%   5,8   80%,70%   7,8   80%,30%   3,2   20%,13.86,11.13,7.0,7.63,6.43,4.88,1.86,2.5,53.6,49.5,46.4,50.5,6.43,5.5,4.14,3.75,11.83,9.2,12.83,9.2,1.4,1.5,2.2,2.25,1.57,0.38,1.86,1.63,0.0,0.0,0.0,0.0
