,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,15326205,"Бундеслига, 5-й тур, регулярный сезон, 19.09.2021 18:30",19.09.2021 18:30,Боруссия Дортмунд,4,Унион Берлин,2,+16°C,переменная облачность,1.3,6.65,12.0,2.82,1.41,10,10,(93) 3.9,2.9 (69),60%   6,5   50%,0,4   40%,40%   4,1   10%,23,15,18,8,2.30,1.50,1.80,0.80,20%   2,5   50%,70%   7,5   50%,90%   9,5   50%,10%   1,5   50%,14.89,12.20,9.56,9.40,7.00,6.00,4.11,3.50,57.75,48.56,42.25,51.44,5.22,4.70,3.56,5.10,10.50,10.67,10.63,8.22,2.25,2.25,0.75,2.00,1.67,1.10,1.89,1.20,0,0.20,0,0
1,15326206,"Бундеслига, 5-й тур, регулярный сезон, 18.09.2021 16:30",18.09.2021 16:30,Бавария,7,Бохум,0,+11°C,небольшой дождь,1.07,16.0,33.0,5.55,1.1,10,10,(89) 3.7,5.9 (141),60%   6,4   40%,20%   2,0,20%   2,6   60%,33,11,12,14,3.30,1.10,1.20,1.40,30%   3,2   20%,50%   5,5   50%,80%   8,5   50%,20%   2,5   50%,15.50,8.67,8.10,11.11,6.90,3.78,3.60,4.56,55.20,51.00,44.80,49.00,5.80,5.00,2.90,4.11,11.40,11.33,8.70,11.67,1.50,2.00,2.20,2.00,0.90,1.22,0.60,1.33,0,0.11,0.10,0.11
2,15326207,"Бундеслига, 6-й тур, регулярный сезон, 24.09.2021 21:30",24.09.2021 21:30,Гройтер,1,Бавария,3,+13°C,переменная облачность,22.0,11.0,1.13,4.05,1.19,10,10,(167) 7.0,6.2 (148),0,7   70%,30%   3,1   10%,70%   7,2   20%,10,38,22,10,1.00,3.80,2.20,1.00,0,4   40%,70%   7,4   40%,60%   6,8   80%,40%   4,2   20%,11.71,16.50,12.71,7.30,4.86,7.80,5.14,2.90,49.50,57.20,50.50,42.80,5.00,5.40,5.14,2.60,14.33,11.10,15.33,8.50,2.00,1.50,1.50,2.40,2.00,0.90,2.00,0.70,0,0,0.14,0.10
3,15326208,"Бундеслига, 6-й тур, регулярный сезон, 26.09.2021 16:30",26.09.2021 16:30,Бохум,0,Штутгарт,0,+15°C,переменная облачность,3.34,3.58,2.24,2.2,1.75,10,10,(191) 8.0,7.0 (167),30%   3,5   50%,0,1   10%,70%   7,4   40%,8,24,20,17,0.80,2.40,2.00,1.70,20%   2,3   30%,40%   4,5   50%,50%   5,8   80%,50%   5,2   20%,8.33,10.89,13.00,9.22,3.33,5.67,5.78,4.11,49.25,52.00,50.75,48.00,5.00,3.56,4.11,4.22,11.00,10.63,10.71,10.50,2.50,1.38,1.83,0.75,1.33,1.33,1.44,1.11,0.11,0.11,0.11,0.11
4,15326209,"Бундеслига, 6-й тур, регулярный сезон, 25.09.2021 16:30",25.09.2021 16:30,Хоффенхайм,3,Вольфсбург,1,+13°C,переменная облачность,2.64,3.58,2.9,2.25,1.79,10,10,(167) 7.0,5.8 (139),30%   3,4   40%,40%   4,3   30%,30%   3,3   30%,16,13,13,13,1.60,1.30,1.30,1.30,30%   3,4   40%,50%   5,6   60%,60%   6,5   50%,40%   4,5   50%,9.50,9.33,9.63,9.33,4.50,3.44,4.63,3.11,48.71,50.38,51.29,49.63,5.13,4.44,4.38,3.78,9.86,12.88,11.71,11.00,2.00,1.71,4.67,1.29,1.75,2.00,1.50,2.22,0,0.11,0.13,0.11
5,15326210,"Бундеслига, 6-й тур, регулярный сезон, 26.09.2021 18:30",26.09.2021 18:30,Фрайбург,3,Аугсбург,0,+14°C,переменная облачность,1.83,3.68,4.85,1.96,1.94,10,10,(193) 8.0,8.0 (193),40%   4,4   40%,50%   5,3   30%,10%   1,3   30%,11,14,8,16,1.10,1.40,0.80,1.60,40%   4,3   30%,60%   6,6   60%,40%   4,7   70%,60%   6,3   30%,9.63,13.33,10.00,11.00,3.88,5.22,4.00,4.56,52.63,44.83,47.38,55.17,4.88,5.44,4.13,3.78,12.00,9.67,11.29,9.67,1.50,2.50,1.50,1.67,1.50,1.22,2.00,1.56,0,0,0.13,0
6,15326211,"Бундеслига, 6-й тур, регулярный сезон, 25.09.2021 19:30",25.09.2021 19:30,Боруссия М,1,Боруссия Дортмунд,0,+13°C,небольшой дождь,3.48,3.9,2.18,2.39,1.55,10,10,(170) 7.1,6.0 (144),50%   5,7   70%,10%   1,0,40%   4,3   30%,12,26,13,17,1.20,2.60,1.30,1.70,30%   3,2   20%,50%   5,7   70%,50%   5,9   90%,50%   5,1   10%,10.00,15.78,9.90,9.56,3.90,7.22,3.80,4.11,49.33,58.33,50.67,41.67,3.90,5.33,5.70,4.00,9.50,10.56,12.13,10.89,2.00,2.00,2.50,1.00,1.40,1.89,1.60,2.22,0,0,0,0
7,15326212,"Бундеслига, 6-й тур, регулярный сезон, 25.09.2021 16:30",25.09.2021 16:30,Унион Берлин,1,Арминия Билефельд,0,+15°C,переменная облачность,1.69,3.88,5.7,1.84,2.07,10,10,(141) 5.9,7.0 (167),40%   4,2   20%,40%   4,5   50%,20%   2,3   30%,15,13,11,17,1.50,1.30,1.10,1.70,50%   5,3   30%,50%   5,6   60%,50%   5,4   40%,50%   5,6   60%,12.50,9.89,9.90,10.56,6.20,4.33,3.60,3.78,42.22,51.13,57.78,48.88,5.10,3.33,5.00,3.89,12.00,11.38,9.33,8.25,2.33,1.29,1.78,2.57,1.30,1.44,1.30,2.11,0.20,0.11,0,0
8,15326213,"Бундеслига, 6-й тур, регулярный сезон, 25.09.2021 16:30",25.09.2021 16:30,Байер,1,Майнц,0,+12°C,небольшой дождь,1.74,4.15,4.8,2.25,1.72,10,10,(143) 6.0,7.0 (167),60%   6,6   60%,20%   2,2   20%,20%   2,2   20%,24,12,14,7,2.40,1.20,1.40,0.70,30%   3,6   60%,70%   7,2   20%,80%   8,3   30%,20%   2,7   70%,11.50,11.56,10.50,8.00,4.75,3.78,4.88,1.89,54.38,48.14,45.63,51.86,5.75,7.00,3.00,4.89,9.00,15.57,10.43,13.86,1.57,2.71,1.00,2.00,1.75,1.22,1.13,1.56,0.13,0,0,0
9,15326214,"Бундеслига, 6-й тур, регулярный сезон, 25.09.2021 16:30",25.09.2021 16:30,Айнтрахт Франкфурт,1,Кёльн,1,+15°C,пасмурно,2.13,3.85,3.38,2.44,1.53,10,10,(139) 5.8,6.8 (164),20%   2,6   60%,50%   5,3   30%,30%   3,1   10%,16,18,16,12,1.60,1.80,1.60,1.20,10%   1,1   10%,80%   8,9   90%,40%   4,5   50%,60%   6,5   50%,11.33,17.78,8.78,9.11,3.67,5.78,4.56,2.78,55.86,42.50,44.14,57.50,4.78,5.89,3.67,3.67,13.86,10.71,9.71,12.43,2.14,1.83,2.29,2.17,2.22,1.56,1.67,1.11,0.11,0.11,0.11,0
