,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2,тотал,country
0,1736825,"Бундеслига, 1-й тур, регулярный сезон, 05.08.2022 21:35",2022-08-05 21:35:00,Айнтрахт Франкфурт,1,Бавария,6,29,солнечно,6.5,5.4,1.51,2.92,1.36,3.9,6.0,6,5,3,3,1,2,18,24,7,15,1.8,2.4,0.7,1.5,5,2,4,7,4,7,6,3,12.75,16.0,9.5,12.0,5.25,6.0,4.13,3.6,50.0,62.9,50.0,37.1,5.25,5.4,3.25,4.1,10.43,10.7,6.29,11.4,1.67,2.8,2.0,2.5,0.88,1.9,1.0,1.5,0.0,0.1,0.25,0.0,7,"Бундеслига,"
1,1736826,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 19:30",2022-08-06 19:30:00,Боруссия Дортмунд,1,Байер,0,27,солнечно,2.13,4.1,3.45,2.73,1.41,7.0,7.0,6,6,1,1,3,3,23,23,13,12,2.3,2.3,1.3,1.2,3,2,6,6,7,6,3,4,12.75,11.0,6.25,8.22,6.38,5.11,2.63,2.89,56.0,51.5,44.0,48.5,6.57,5.44,2.29,4.67,9.63,12.57,12.5,10.86,2.63,1.83,1.63,1.0,0.75,0.89,1.25,1.0,0.0,0.0,0.0,0.0,1,"Бундеслига,"
2,1736827,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 16:30",2022-08-06 16:30:00,Унион Берлин,3,Герта,1,28,солнечно,1.87,3.72,4.3,1.92,1.94,4.8,5.8,8,5,1,1,1,4,23,23,11,12,2.3,2.3,1.1,1.2,2,4,7,5,7,5,3,5,9.4,11.25,6.4,6.5,5.6,6.5,2.4,4.25,45.67,50.0,54.33,50.0,4.8,5.25,2.6,5.75,12.0,12.25,15.8,16.5,1.0,6.0,0.67,2.0,1.2,1.75,0.8,0.75,0.0,0.25,0.0,0.0,4,"Бундеслига,"
3,1736828,"Бундеслига, 1-й тур, регулярный сезон, 07.08.2022 18:30",2022-08-07 18:30:00,Кёльн,3,Шальке,1,30,солнечно,2.08,3.64,3.58,2.05,1.7,8.0,7.1,5,6,1,2,4,2,32,26,10,10,3.2,2.6,1.0,1.0,3,5,6,5,7,7,3,3,13.5,12.8,8.83,6.2,5.83,6.6,4.33,4.4,57.6,54.0,42.4,46.0,8.67,5.6,4.33,4.4,13.2,11.2,16.0,13.0,2.0,1.33,1.4,2.5,2.0,0.4,1.67,0.0,0.0,0.0,0.0,0.0,4,"Бундеслига,"
4,1736829,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 16:30",2022-08-06 16:30:00,Боруссия М,3,Хоффенхайм,1,27,солнечно,2.07,3.78,3.48,2.73,1.41,5.9,5.9,5,5,4,2,1,3,34,23,12,19,3.4,2.3,1.2,1.9,1,4,9,6,6,7,4,3,9.71,11.4,10.86,12.8,6.0,5.0,4.86,6.6,53.5,53.8,46.0,46.2,4.29,6.2,6.57,5.6,14.0,11.6,9.5,9.6,1.67,2.4,2.33,2.0,0.29,2.0,0.57,1.4,0.0,0.0,0.0,0.0,4,"Бундеслига,"
5,1736830,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 16:30",2022-08-06 16:30:00,Вольфсбург,2,Вердер,2,27,солнечно,2.11,3.55,3.58,2.08,1.8,6.1,4.8,6,6,3,1,1,3,25,23,12,12,2.5,2.3,1.2,1.2,3,3,7,7,6,8,4,2,9.0,5.2,15.2,3.8,4.0,5.2,6.4,3.8,49.25,56.2,50.75,43.8,6.2,4.6,8.0,5.0,9.0,12.4,12.75,11.8,1.33,2.6,2.25,3.4,1.2,0.2,1.8,0.0,0.0,0.0,0.0,0.0,4,"Бундеслига,"
6,1736831,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 16:30",2022-08-06 16:30:00,Бохум,1,Майнц,2,27,солнечно,3.34,3.52,2.21,2.0,1.86,7.0,5.8,6,5,2,3,2,2,22,16,14,11,2.2,1.6,1.4,1.1,2,4,7,4,6,6,4,4,4.5,11.5,3.0,8.88,4.0,3.88,1.5,3.25,66.0,48.17,34.0,51.83,3.5,4.5,1.5,3.5,5.0,13.83,12.0,13.67,2.0,2.0,5.0,1.5,1.0,1.25,1.0,1.5,0.0,0.13,0.0,0.0,3,"Бундеслига,"
7,1736832,"Бундеслига, 1-й тур, регулярный сезон, 06.08.2022 16:30",2022-08-06 16:30:00,Аугсбург,0,Фрайбург,4,28,переменная облачность,3.5,3.56,2.13,1.96,1.9,5.9,5.9,4,5,2,2,4,3,21,17,15,14,2.1,1.7,1.5,1.4,3,4,5,6,7,6,3,4,9.5,17.0,10.0,12.0,3.5,4.5,5.25,5.5,47.25,53.5,52.75,46.5,3.75,6.25,4.25,5.25,15.5,14.25,13.5,12.25,1.25,1.5,1.5,1.25,1.75,2.5,2.25,2.75,0.0,0.0,0.0,0.5,4,"Бундеслига,"
8,1736833,"Бундеслига, 1-й тур, регулярный сезон, 07.08.2022 16:30",2022-08-07 16:30:00,Штутгарт,1,РБ Лейпциг,1,29,умеренный или сильный ливневый дождь,3.92,3.74,1.95,2.13,1.76,8.8,7.8,6,4,3,1,1,5,23,16,12,21,2.3,1.6,1.2,2.1,2,2,7,7,6,7,4,3,13.14,9.9,11.0,9.8,6.43,4.9,3.14,4.2,45.5,54.78,54.5,45.22,5.14,4.1,6.43,3.5,10.57,11.78,12.0,11.78,1.33,2.11,1.83,2.11,1.86,1.1,1.86,2.2,0.14,0.2,0.14,0.1,2,"Бундеслига,"
9,1736834,"Бундеслига, 2-й тур, регулярный сезон, 14.08.2022 18:30",2022-08-14 18:30:00,Бавария,2,Вольфсбург,0,28,солнечно,1.16,9.5,15.25,4.55,1.17,8.8,8.0,5,6,3,3,2,1,29,26,16,13,2.9,2.6,1.6,1.3,1,3,8,7,8,7,2,3,17.0,8.6,12.2,10.2,6.6,3.6,3.7,4.8,62.5,52.75,37.5,40.75,5.7,4.8,4.3,5.6,10.8,9.0,10.2,12.75,2.8,1.67,2.6,2.75,1.8,1.2,1.5,1.4,0.1,0.0,0.0,0.0,2,"Бундеслига,"
10,1736835,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 16:30",2022-08-13 16:30:00,Байер,1,Аугсбург,2,29,солнечно,1.31,6.05,9.3,2.85,1.38,6.8,7.0,6,4,1,2,3,4,23,20,12,15,2.3,2.0,1.2,1.5,2,3,6,4,6,7,4,3,10.56,8.5,9.22,10.25,5.0,2.75,3.22,5.0,52.67,48.5,47.33,51.5,5.0,3.75,4.89,4.5,11.86,15.25,11.86,13.25,2.33,1.0,1.33,1.25,1.11,1.25,1.11,1.25,0.13,0.0,0.0,0.0,3,"Бундеслига,"
11,1736836,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 16:30",2022-08-13 16:30:00,РБ Лейпциг,2,Кёльн,2,30,в отдельных районах умеренный или сильный дождь с грозой,1.48,5.35,7.1,2.56,1.46,6.0,5.9,4,5,2,1,4,4,16,31,20,10,1.6,3.1,2.0,1.0,2,3,7,6,6,7,4,3,12.1,15.5,9.7,7.5,5.7,6.17,4.0,3.83,53.67,61.2,46.33,38.8,4.8,9.0,3.1,3.67,11.33,12.0,12.33,15.2,2.33,1.8,2.22,1.4,1.0,1.33,2.2,1.5,0.2,0.0,0.1,0.17,4,"Бундеслига,"
12,1736837,"Бундеслига, 2-й тур, регулярный сезон, 12.08.2022 21:30",2022-08-12 21:30:00,Фрайбург,1,Боруссия Дортмунд,3,30,солнечно,3.02,3.9,2.41,2.32,1.55,6.2,6.0,6,7,2,1,2,2,20,21,10,9,2.0,2.1,1.0,0.9,5,4,5,5,6,6,4,4,17.25,12.0,11.25,5.75,5.25,5.63,4.75,2.38,50.0,53.88,50.0,46.13,7.25,5.57,5.0,2.29,14.5,9.63,12.0,11.88,2.0,2.5,0.75,2.0,2.25,0.5,2.25,1.38,0.0,0.0,0.5,0.13,4,"Бундеслига,"
13,1736838,"Бундеслига, 2-й тур, регулярный сезон, 14.08.2022 16:30",2022-08-14 16:30:00,Майнц,0,Унион Берлин,0,28,переменная облачность,2.27,3.3,3.42,1.85,2.01,8.0,4.9,6,7,2,2,2,1,18,20,12,10,1.8,2.0,1.2,1.0,3,2,5,7,7,6,3,4,12.0,9.4,10.13,4.0,4.63,5.2,3.25,2.2,46.5,53.0,53.5,47.0,4.5,5.8,3.5,2.2,13.67,14.25,13.5,19.25,1.83,1.5,1.67,1.0,1.63,0.6,1.63,1.0,0.13,0.0,0.0,0.0,0,"Бундеслига,"
14,1736839,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 16:30",2022-08-13 16:30:00,Хоффенхайм,3,Бохум,2,29,солнечно,1.58,4.65,5.35,2.53,1.47,7.0,7.0,5,5,1,2,4,3,22,21,20,16,2.2,2.1,2.0,1.6,4,1,6,8,7,7,3,3,9.6,8.33,13.0,6.33,4.4,3.67,6.8,3.0,53.0,63.5,47.0,36.5,5.0,3.33,4.8,2.67,12.2,8.0,11.2,14.0,2.2,1.5,2.0,3.0,2.2,1.33,1.4,1.67,0.2,0.0,0.0,0.0,5,"Бундеслига,"
15,1736840,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 16:30",2022-08-13 16:30:00,Герта,1,Айнтрахт Франкфурт,1,28,солнечно,2.91,3.72,2.36,2.19,1.72,7.0,2.7,4,5,1,3,5,2,22,18,15,13,2.2,1.8,1.5,1.3,3,4,6,5,6,5,4,5,9.0,11.75,9.0,10.88,5.5,4.88,5.5,5.13,56.0,46.33,44.0,53.67,5.25,4.88,6.0,2.88,13.25,11.29,20.0,7.43,3.5,2.83,2.0,2.17,1.5,0.63,1.25,0.63,0.0,0.0,0.0,0.0,2,"Бундеслига,"
16,1736841,"Бундеслига, 2-й тур, регулярный сезон, 13.08.2022 19:30",2022-08-13 19:30:00,Шальке,2,Боруссия М,2,28,солнечно,3.24,3.75,2.17,2.38,1.53,6.0,7.1,5,6,2,3,3,1,24,36,11,12,2.4,3.6,1.1,1.2,5,1,5,9,7,7,3,3,12.0,10.71,11.6,7.29,5.0,6.14,5.8,3.43,45.67,55.0,54.33,45.0,5.0,4.86,5.6,4.86,10.6,16.75,11.4,12.0,1.33,2.33,2.33,1.67,0.6,0.43,0.0,1.14,0.25,0.0,0.0,0.14,4,"Бундеслига,"
