,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,1737439,"Лига 1, 31-й тур, регулярный сезон, 15.04.2023 18:00",15.04.2023 18:00,Ренн,3,Реймс,0,+18°C,переменная облачность,2.18,3.55,3.22,1.98,1.89,10,10,(147) 6.1,6.0 (145),40%   4,5   50%,10%   1,3   30%,50%   5,2   20%,10,15,11,6,1.00,1.50,1.10,0.60,40%   4,7   70%,40%   4,3   30%,40%   4,5   50%,60%   6,5   50%,13.50,15.80,12.50,11.50,4.10,5.90,4.20,3.80,53.80,55.10,46.20,44.90,4.10,4.20,5.50,3.40,12.20,12.60,11.70,12.50,1.20,1.70,3.10,2.20,1.50,1.30,2.20,1.60,0,0,0,0
1,1737440,"Лига 1, 31-й тур, регулярный сезон, 14.04.2023 22:00",14.04.2023 22:00,Тулуза,1,Лион,2,+19°C,солнечно,3.42,3.8,2.02,2.29,1.67,10,10,(125) 5.2,5.3 (127),50%   5,5   50%,0,3   30%,50%   5,2   20%,19,16,15,11,1.90,1.60,1.50,1.10,20%   2,2   20%,50%   5,7   70%,70%   7,6   60%,30%   3,4   40%,13.11,11.00,14.11,11.80,5.33,4.40,5.00,4.00,54.78,55.60,45.22,44.40,5.56,3.70,5.78,3.80,12.56,13.90,9.44,12.50,2.22,1.50,1.00,2.30,1.67,1.50,0.89,1.80,0.11,0,0,0
2,1737441,"Лига 1, 32-й тур, регулярный сезон, 23.04.2023 16:00",23.04.2023 16:00,Аяччо,0,Брест,0,+25°C,солнечно,3.12,3.04,2.5,1.54,2.59,10,10,(167) 7.0,7.0 (167),10%   1,3   30%,0,3   30%,90%   9,4   40%,4,12,21,14,0.40,1.20,2.10,1.40,0,2   20%,30%   3,7   70%,60%   6,6   60%,40%   4,4   40%,8.20,10.90,10.80,15.60,2.20,2.80,4.40,5.40,44.90,42.90,55.10,57.10,2.60,4.30,3.60,5.70,15.30,13.00,14.50,11.50,1.50,1.20,1.90,2.00,2.40,1.60,1.70,1.90,0.30,0.10,0.10,0.10
3,1737442,"Лига 1, 32-й тур, регулярный сезон, 22.04.2023 18:00",22.04.2023 18:00,Осер,1,Лилль,1,+17°C,переменная облачность,5.75,4.1,1.58,1.94,1.92,10,10,(145) 6.0,6.1 (147),50%   5,5   50%,30%   3,2   20%,20%   2,3   30%,13,20,9,14,1.30,2.00,0.90,1.40,40%   4,2   20%,50%   5,7   70%,40%   4,6   60%,60%   6,4   40%,11.50,14.80,12.30,7.40,3.70,6.10,4.00,3.20,41.80,61.90,58.20,38.10,4.50,6.90,5.30,4.40,13.10,13.70,11.50,14.10,1.10,1.60,1.90,1.80,1.80,2.60,1.50,2.40,0,0,0,0.20
4,1737443,"Лига 1, 32-й тур, регулярный сезон, 21.04.2023 22:00",21.04.2023 22:00,Анже,1,ПСЖ,2,+19°C,облачно,18.5,8.7,1.13,3.04,1.34,10,10,(125) 5.2,6.0 (143),10%   1,6   60%,20%   2,0,70%   7,4   40%,7,18,20,13,0.70,1.80,2.00,1.30,10%   1,2   20%,60%   6,4   40%,50%   5,5   50%,50%   5,5   50%,9.30,13.90,13.20,13.30,3.60,6.70,5.40,5.20,44.50,55.50,55.50,44.50,4.70,4.50,5.50,5.80,13.60,9.10,11.50,12.40,1.30,2.00,1.10,1.70,1.50,1.00,1.20,1.50,0.10,0,0.20,0.20
5,1737444,"Лига 1, 32-й тур, регулярный сезон, 23.04.2023 16:00",23.04.2023 16:00,Лорьян,0,Тулуза,1,+13°C,пасмурно,2.46,3.56,2.75,2.06,1.82,10,10,(164) 6.8,8.7 (209),20%   2,5   50%,30%   3,0,50%   5,5   50%,9,18,10,14,0.90,1.80,1.00,1.40,40%   4,2   20%,40%   4,5   50%,30%   3,7   70%,70%   7,3   30%,10.30,12.89,13.60,14.00,4.00,5.33,3.90,4.56,49.70,53.78,50.30,46.22,3.40,6.11,4.90,5.22,9.50,13.22,15.00,9.44,1.60,2.44,0.90,0.78,0.80,1.78,1.60,1.11,0.20,0.11,0,0
6,1737445,"Лига 1, 32-й тур, регулярный сезон, 23.04.2023 16:00",23.04.2023 16:00,Нант,2,Труа,2,+17°C,солнечно,1.48,4.5,6.55,2.17,1.74,10,10,(167) 7.0,6.7 (161),20%   2,0,30%   3,2   20%,50%   5,8   80%,11,7,19,22,1.10,0.70,1.90,2.20,10%   1,0,60%   6,5   50%,70%   7,6   60%,30%   3,4   40%,11.70,9.40,15.20,15.80,4.90,3.10,7.40,5.60,45.30,45.30,54.70,54.70,4.70,3.50,5.80,5.00,9.80,12.20,11.70,10.20,2.30,1.60,0.80,1.50,1.50,1.40,1.10,0.90,0.10,0.20,0,0.10
7,1737446,"Лига 1, 32-й тур, регулярный сезон, 23.04.2023 18:05",23.04.2023 18:05,Монпелье,1,Ренн,0,+24°C,солнечно,3.15,3.32,2.32,1.82,2.06,10,10,(171) 7.1,8.0 (191),50%   5,5   50%,20%   2,1   10%,30%   3,4   40%,16,12,9,8,1.60,1.20,0.90,0.80,40%   4,5   50%,50%   5,3   30%,50%   5,4   40%,50%   5,6   60%,13.20,14.50,11.70,11.70,5.00,4.50,4.20,3.60,48.00,52.00,52.00,48.00,5.60,4.00,3.70,5.70,13.90,11.80,15.10,11.90,1.70,1.30,0.50,3.30,1.40,1.50,2.20,2.30,0.20,0,0.30,0
8,1737447,"Лига 1, 32-й тур, регулярный сезон, 23.04.2023 16:00",23.04.2023 16:00,Ницца,1,Клермон,2,+23°C,солнечно,1.71,3.8,4.95,1.84,2.03,10,10,(64) 2.7,7.0 (167),20%   2,4   40%,50%   5,1   10%,30%   3,5   50%,12,9,13,15,1.20,0.90,1.30,1.50,10%   1,2   20%,70%   7,4   40%,40%   4,4   40%,60%   6,6   60%,14.50,11.00,10.60,12.50,4.50,4.60,3.50,4.60,53.50,50.50,46.50,49.50,6.30,4.70,3.00,4.10,11.20,11.90,8.90,17.40,1.10,1.00,1.70,1.90,1.70,1.60,1.20,2.90,0,0.20,0.10,0.20
9,1737448,"Лига 1, 32-й тур, регулярный сезон, 23.04.2023 21:45",23.04.2023 21:45,Лион,1,Марсель,2,+19°C,солнечно,2.66,3.75,2.79,2.11,1.89,10,10,(214) 8.9,7.0 (167),50%   5,5   50%,30%   3,3   30%,20%   2,2   20%,16,16,11,12,1.60,1.60,1.10,1.20,20%   2,3   30%,70%   7,6   60%,60%   6,6   60%,40%   4,4   40%,11.30,15.40,11.70,11.80,4.20,4.70,4.20,4.80,57.20,56.00,42.80,44.00,4.00,5.50,4.10,3.80,13.40,12.90,12.80,10.90,1.20,2.20,2.10,1.40,1.80,1.30,1.80,1.50,0,0.10,0,0
