,Unnamed: 0,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
308,308,14898402,"Бундеслига, стыковые матчи, 06.07.2020 21:30",06.07.2020 21:30,Хайденхайм,2,Вердер,2,+20°C,переменная облачность,3.62,3.48,2.17,1.72,2.25,10,10,(95) 4.0,4.0 (95),40%   4,4   40%,30%   3,2   20%,30%   3,4   40%,11,14,10,10,1.1,1.4,1.0,1.0,50%   5,4   40%,30%   3,3   30%,60%   6,4   40%,40%   4,6   60%,12.2,11.2,11.4,13.0,4.0,4.3,3.0,4.7,47.8,49.9,48.8,50.1,4.5,5.0,4.5,6.6,13.9,14.6,12.6,14.8,1.8,2.10,1.3,1.90,2.0,2.3,2.6,2.4,0.0,0.2,0.0,0.1
309,309,14898401,"Бундеслига, стыковые матчи, 02.07.2020 21:30",02.07.2020 21:30,Вердер,0,Хайденхайм,0,+18°C,переменная облачность,1.58,4.2,6.5,1.97,1.93,10,10,(124) 5.2,4.2 (100),40%   4,5   50%,10%   1,2   20%,50%   5,3   30%,15,14,14,11,1.5,1.4,1.4,1.1,30%   3,4   40%,40%   4,4   40%,50%   5,7   70%,50%   5,3   30%,10.7,13.0,13.3,11.9,4.3,4.7,5.3,3.4,47.1,48.3,52.9,51.7,4.7,4.3,6.8,4.4,15.4,13.3,14.7,12.4,1.8,1.70,1.8,1.30,2.3,1.9,2.3,2.5,0.1,0.0,0.1,0.1
310,310,14898392,"Бундеслига, 34-й тур, регулярный сезон, 27.06.2020 16:30",27.06.2020 16:30,Боруссия Дортмунд,0,Хоффенхайм,4,+16°C,солнечно,1.92,4.4,3.9,3.38,1.33,10,10,(167) 7.0,7.0 (167),70%   7,4   40%,0,3   30%,30%   3,3   30%,18,15,7,17,1.8,1.5,0.7,1.7,50%   5,2   20%,20%   2,5   50%,30%   3,6   60%,70%   7,4   40%,10.8,11.5,8.8,14.6,4.6,5.0,3.3,5.1,57.0,47.3,43.0,52.7,4.0,4.8,2.8,5.6,10.4,11.7,10.1,12.6,1.3,1.60,1.7,1.80,2.8,1.9,2.9,2.2,0.1,0.2,0.1,0.1
311,311,14898393,"Бундеслига, 34-й тур, регулярный сезон, 27.06.2020 16:30",27.06.2020 16:30,Байер,1,Майнц,0,+20°C,солнечно,1.42,5.9,7.8,3.52,1.31,10,10,(167) 7.0,7.0 (167),60%   6,4   40%,10%   1,3   30%,30%   3,3   30%,21,13,15,12,2.1,1.3,1.5,1.2,20%   2,3   30%,70%   7,4   40%,70%   7,3   30%,30%   3,7   70%,12.7,10.9,10.4,13.2,5.1,4.4,4.1,4.6,62.0,47.5,38.0,52.5,6.8,5.6,4.0,6.5,12.2,13.3,12.9,14.7,2.0,2.00,2.1,1.10,2.1,2.4,2.2,3.3,0.0,0.1,0.0,0.1
312,312,14898394,"Бундеслига, 34-й тур, регулярный сезон, 27.06.2020 16:30",27.06.2020 16:30,Боруссия М,2,Герта,1,+21°C,солнечно,1.44,5.45,8.0,2.64,1.46,10,10,(167) 7.0,7.0 (167),50%   5,4   40%,10%   1,3   30%,40%   4,3   30%,18,20,12,14,1.8,2.0,1.2,1.4,20%   2,4   40%,70%   7,5   50%,80%   8,7   70%,20%   2,3   30%,13.8,11.2,12.4,12.0,5.6,4.9,4.8,4.1,51.2,48.1,48.8,51.9,4.6,4.2,3.7,4.9,12.5,14.7,13.9,8.6,3.0,2.70,1.1,2.00,1.9,2.6,2.8,1.7,0.1,0.1,0.1,0.1
313,313,14898395,"Бундеслига, 34-й тур, регулярный сезон, 27.06.2020 16:30",27.06.2020 16:30,Вольфсбург,0,Бавария,4,+19°C,переменная облачность,5.35,5.1,1.62,3.68,1.29,10,10,(167) 7.0,7.0 (167),40%   4,10   100%,20%   2,0,40%   4,0,15,27,14,7,1.5,2.7,1.4,0.7,20%   2,5   50%,60%   6,5   50%,70%   7,6   60%,30%   3,4   40%,14.9,15.9,8.8,8.6,4.7,6.6,3.5,2.9,48.1,59.9,51.9,40.1,3.7,6.5,4.2,2.8,14.6,10.3,11.9,9.7,1.5,2.50,1.3,2.50,2.9,1.1,2.3,1.6,0.1,0.1,0.1,0.0
314,314,14898396,"Бундеслига, 34-й тур, регулярный сезон, 27.06.2020 16:30",27.06.2020 16:30,Айнтрахт Франкфурт,3,Падерборн 07,2,+18°C,солнечно,1.3,6.9,11.25,3.7,1.26,10,10,(167) 7.0,7.0 (167),40%   4,0,20%   2,4   40%,40%   4,6   60%,19,6,19,21,1.9,0.6,1.9,2.1,10%   1,2   20%,80%   8,6   60%,80%   8,4   40%,20%   2,6   60%,12.7,11.6,12.1,13.1,4.7,2.8,5.3,5.7,51.6,49.7,48.4,50.3,5.4,5.1,3.8,5.3,13.2,13.0,12.2,11.7,0.8,1.20,4.0,2.20,2.8,2.8,2.0,1.8,0.1,0.1,0.2,0.1
315,315,14898397,"Бундеслига, 34-й тур, регулярный сезон, 27.06.2020 16:30",27.06.2020 16:30,Вердер,6,Кёльн,1,+18°C,переменная облачность,1.63,4.85,5.45,2.94,1.38,10,10,(167) 7.0,7.0 (167),30%   3,1   10%,20%   2,4   40%,50%   5,5   50%,11,14,15,21,1.1,1.4,1.5,2.1,30%   3,0,40%   4,10   100%,50%   5,8   80%,50%   5,2   20%,9.5,11.4,14.2,11.9,3.7,4.3,5.8,4.9,46.7,49.9,53.3,50.1,4.1,5.1,6.6,5.8,14.1,15.0,14.9,12.3,2.0,1.80,1.9,1.30,2.5,2.2,2.4,1.8,0.1,0.1,0.1,0.1
316,316,14898398,"Бундеслига, 34-й тур, регулярный сезон, 27.06.2020 16:30",27.06.2020 16:30,Фрайбург,4,Шальке,0,+26°C,солнечно,2.18,3.84,3.55,2.36,1.73,10,10,(167) 7.0,7.0 (167),30%   3,0,30%   3,3   30%,40%   4,7   70%,13,6,14,20,1.3,0.6,1.4,2.0,10%   1,0,60%   6,6   60%,50%   5,5   50%,50%   5,5   50%,11.1,8.4,16.9,10.9,4.4,2.7,6.0,4.5,46.2,43.6,53.8,56.4,4.5,2.6,6.2,6.7,8.9,13.0,13.8,11.3,2.1,2.00,0.8,1.90,0.9,2.6,1.5,2.1,0.0,0.1,0.3,0.0
317,317,14898399,"Бундеслига, 34-й тур, регулярный сезон, 27.06.2020 16:30",27.06.2020 16:30,Аугсбург,1,РБ Лейпциг,2,+20°C,солнечно,6.8,5.6,1.48,3.38,1.33,10,10,(167) 7.0,7.0 (167),20%   2,4   40%,30%   3,5   50%,50%   5,1   10%,10,20,14,10,1.0,2.0,1.4,1.0,30%   3,4   40%,50%   5,5   50%,40%   4,5   50%,60%   6,5   50%,9.8,15.0,13.1,10.6,3.8,6.3,4.3,3.4,43.3,54.4,56.7,45.6,5.1,5.0,4.9,4.8,10.0,12.2,12.7,12.1,2.1,1.70,1.6,3.30,1.7,1.7,1.7,2.4,0.0,0.2,0.0,0.0
318,318,14898400,"Бундеслига, 34-й тур, регулярный сезон, 27.06.2020 16:30",27.06.2020 16:30,Унион Берлин,3,Фортуна Дюссельдорф,0,+19°C,переменная облачность,3.95,3.62,2.12,2.07,1.92,10,10,(167) 7.0,7.0 (167),20%   2,1   10%,20%   2,6   60%,60%   6,3   30%,8,11,23,16,0.8,1.1,2.3,1.6,10%   1,1   10%,60%   6,7   70%,60%   6,5   50%,40%   4,5   50%,8.7,14.2,12.2,9.7,3.5,4.9,5.5,4.0,41.1,50.8,58.9,49.2,4.2,5.7,5.4,3.2,14.7,11.6,12.9,13.9,1.5,1.40,1.9,2.10,2.0,2.0,2.0,1.6,0.3,0.0,0.0,0.2
