,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,15127924,"Бундеслига, понижение/повышение - финал, 29.05.2021 19:00",29.05.2021 19:00,Хольштайн Киль,1,Кёльн,5,+17°C,переменная облачность,3.82,3.48,2.1,1.9,2.0,10,10,(70) 2.9,2.9 (70),60%   6,3   30%,10%   1,2   20%,30%   3,5   50%,19,11,15,17,1.90,1.10,1.50,1.70,40%   4,2   20%,50%   5,5   50%,60%   6,6   60%,40%   4,4   40%,6.10,13.20,5.90,10.30,4.10,3.70,3.90,4.40,51.90,51.80,47.50,48.20,4.10,4.20,4.70,4.00,10.60,12.60,13.30,14.70,1.90,0.90,1.00,0.80,1.50,1.90,1.50,1.90,0,0,0,0
1,15127923,"Бундеслига, понижение/повышение - финал, 26.05.2021 19:30",26.05.2021 19:30,Кёльн,0,Хольштайн Киль,1,+14°C,солнечно,1.7,4.0,5.35,1.95,1.95,10,10,(98) 4.1,3.1 (74),30%   3,5   50%,20%   2,1   10%,50%   5,4   40%,12,18,18,16,1.20,1.80,1.80,1.60,20%   2,3   30%,60%   6,5   50%,70%   7,6   60%,30%   3,4   40%,12.70,5.40,10.60,5.20,3.80,4.00,4.80,3.80,52.40,52.44,47.60,47.56,3.90,4.30,4.10,4.90,11.80,8.80,14.40,12.70,0.70,2.00,1.00,1.11,1.80,1.20,1.80,1.40,0,0,0,0
2,15127914,"Бундеслига, 34-й тур, регулярный сезон, 22.05.2021 16:35",22.05.2021 16:35,Бавария,5,Аугсбург,2,+20°C,переменная облачность,1.15,10.5,16.25,5.45,1.11,10,10,(167) 7.0,7.0 (167),60%   6,4   40%,20%   2,1   10%,20%   2,5   50%,23,13,10,13,2.30,1.30,1.00,1.30,50%   5,2   20%,50%   5,5   50%,60%   6,5   50%,40%   4,5   50%,18.10,12.00,9.10,13.20,7.00,4.80,3.00,4.40,55.30,43.89,44.70,56.11,6.30,5.70,3.70,5.10,11.40,11.00,11.50,13.00,2.10,2.11,3.70,2.22,1.80,1.50,1.60,1.70,0.20,0.10,0,0.10
3,15127915,"Бундеслига, 34-й тур, регулярный сезон, 22.05.2021 16:30",22.05.2021 16:30,Боруссия Дортмунд,3,Байер,1,+16°C,солнечно,1.62,5.1,5.35,3.54,1.28,10,10,(140) 5.8,7.0 (167),80%   8,4   40%,0,3   30%,20%   2,3   30%,28,11,11,10,2.80,1.10,1.10,1.00,30%   3,4   40%,70%   7,4   40%,80%   8,5   50%,20%   2,5   50%,13.50,11.10,12.80,11.00,5.80,4.20,3.80,4.30,51.40,55.20,48.60,44.80,4.70,5.20,5.40,4.60,9.60,13.10,10.30,10.00,1.50,1.70,1.60,2.10,1.60,1.40,1.50,0.90,0.10,0,0,0.10
4,15127916,"Бундеслига, 34-й тур, регулярный сезон, 22.05.2021 16:30",22.05.2021 16:30,Хоффенхайм,2,Герта,1,+23°C,солнечно,1.72,4.33,4.7,2.9,1.39,10,10,(167) 7.0,7.0 (167),30%   3,4   40%,40%   4,5   50%,30%   3,1   10%,13,14,13,8,1.30,1.40,1.30,0.80,20%   2,4   40%,70%   7,5   50%,50%   5,5   50%,50%   5,5   50%,12.10,10.20,10.60,11.30,4.20,4.80,4.30,3.70,54.80,46.80,45.20,53.20,4.30,4.40,4.90,4.20,11.50,11.80,10.60,13.00,1.30,2.20,2.60,1.40,1.60,2.50,1.00,2.30,0,0.20,0.10,0.10
5,15127917,"Бундеслига, 34-й тур, регулярный сезон, 22.05.2021 16:30",22.05.2021 16:30,Вольфсбург,2,Майнц,3,+19°C,переменная облачность,1.88,4.2,3.94,2.82,1.41,10,10,(138) 5.8,5.8 (140),50%   5,5   50%,10%   1,4   40%,40%   4,1   10%,22,15,15,12,2.20,1.50,1.50,1.20,30%   3,2   20%,60%   6,8   80%,80%   8,5   50%,20%   2,5   50%,14.00,11.20,9.10,13.00,5.50,5.60,3.50,4.00,51.40,43.20,48.60,56.80,5.40,4.00,4.50,4.10,13.30,15.00,11.00,13.30,2.60,1.33,0.90,0.56,1.60,1.50,1.90,1.60,0.10,0,0.10,0
6,15127918,"Бундеслига, 34-й тур, регулярный сезон, 22.05.2021 16:30",22.05.2021 16:30,Айнтрахт Франкфурт,3,Фрайбург,1,+18°C,солнечно,2.1,4.4,3.12,3.46,1.29,10,10,(167) 7.0,7.0 (167),40%   4,3   30%,30%   3,2   20%,30%   3,5   50%,20,14,20,14,2.00,1.40,2.00,1.40,10%   1,2   20%,80%   8,4   40%,60%   6,6   60%,40%   4,4   40%,13.10,11.20,14.40,14.50,4.50,4.50,5.50,5.50,55.00,50.70,45.00,49.30,6.50,3.40,4.90,3.50,12.20,13.20,11.30,12.80,1.90,2.00,2.40,1.40,2.40,2.50,1.30,1.90,0,0,0,0
7,15127919,"Бундеслига, 34-й тур, регулярный сезон, 22.05.2021 16:30",22.05.2021 16:30,Унион Берлин,2,РБ Лейпциг,1,+19°C,переменная облачность,3.84,4.1,2.0,2.22,1.63,10,10,(167) 7.0,5.8 (138),30%   3,4   40%,30%   3,2   20%,40%   4,4   40%,13,15,18,14,1.30,1.50,1.80,1.40,0,3   30%,80%   8,6   60%,60%   6,6   60%,40%   4,4   40%,10.78,17.10,11.00,8.60,4.33,5.40,4.78,2.80,46.33,62.70,53.67,37.30,4.33,7.00,4.11,3.10,12.56,14.20,10.22,12.10,2.44,3.00,2.00,2.10,1.22,1.80,2.00,1.70,0,0,0,0.10
8,15127920,"Бундеслига, 34-й тур, регулярный сезон, 22.05.2021 16:30",22.05.2021 16:30,Кёльн,1,Шальке,0,+14°C,солнечно,1.4,5.75,7.3,3.26,1.32,10,10,(167) 7.0,7.0 (167),20%   2,2   20%,30%   3,1   10%,50%   5,7   70%,12,9,19,24,1.20,0.90,1.90,2.40,10%   1,2   20%,70%   7,4   40%,70%   7,7   70%,30%   3,3   30%,12.30,6.00,11.00,15.80,3.10,2.00,5.20,6.30,52.90,43.60,47.10,56.40,4.00,3.10,4.00,6.30,11.60,10.00,14.30,12.60,1.10,1.90,1.00,3.60,1.90,1.40,1.60,1.90,0,0.10,0,0.10
9,15127921,"Бундеслига, 34-й тур, регулярный сезон, 22.05.2021 16:30",22.05.2021 16:30,Вердер,2,Боруссия М,4,+18°C,переменная облачность,3.2,4.0,2.16,2.46,1.52,10,10,(167) 7.0,7.0 (167),10%   1,4   40%,10%   1,1   10%,80%   8,5   50%,6,20,19,19,0.60,2.00,1.90,1.90,20%   2,3   30%,50%   5,5   50%,50%   5,9   90%,50%   5,1   10%,11.50,14.20,14.40,13.60,3.60,5.20,5.20,5.50,46.50,48.70,53.50,51.30,4.50,4.20,6.20,4.40,12.50,10.40,12.00,9.00,2.20,2.30,3.00,2.30,1.60,1.20,1.40,2.00,0.20,0.10,0.10,0.10
