,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,14898085,"Премьер-Лига, 38-й тур, регулярный сезон, 26.07.2020 18:00",26.07.2020 18:00,Арсенал,3,Уотфорд,2,+13°C,переменная облачность,1.95,4.1,4.05,2.22,1.81,10,10,(114) 4.8,4.9 (117),60%   6,3   30%,10%   1,1   10%,30%   3,6   60%,17,10,8,18,1.70,1.00,0.80,1.80,40%   4,1   10%,50%   5,5   50%,50%   5,7   70%,50%   5,3   30%,8.90,9.00,12.90,12.60,4.50,3.40,4.60,4.90,49.10,42.20,50.90,57.80,5.60,3.70,6.50,5.30,11.20,14.00,12.20,11.50,2.10,1.60,1.50,1.70,1.90,1.60,1.80,1.40,0.10,0,0.10,0
1,14898086,"Премьер-Лига, 38-й тур, регулярный сезон, 26.07.2020 18:00",26.07.2020 18:00,Бернли,1,Брайтон,2,+7°C,дымка,2.71,3.58,2.83,1.9,2.1,10,10,(189) 7.9,5.9 (141),40%   4,2   20%,50%   5,4   40%,10%   1,4   40%,9,5,9,14,0.90,0.50,0.90,1.40,50%   5,4   40%,40%   4,3   30%,10%   1,4   40%,90%   9,6   60%,9.30,9.50,14.30,13.90,3.90,2.90,4.50,4.20,44.60,44.80,55.40,55.20,3.60,5.00,7.90,5.90,10.10,9.90,10.20,8.60,2.00,1.70,0.80,1.60,1.40,1.70,1.20,1.50,0,0,0.20,0
2,14898087,"Премьер-Лига, 38-й тур, регулярный сезон, 26.07.2020 18:00",26.07.2020 18:00,Челси,2,Вулверхэмптон,0,+13°C,переменная облачность,1.98,3.5,4.7,1.71,2.39,10,10,(90) 3.8,5.8 (138),70%   7,5   50%,0,3   30%,30%   3,2   20%,20,11,16,5,2.00,1.10,1.60,0.50,30%   3,6   60%,60%   6,2   20%,80%   8,1   10%,20%   2,9   90%,14.40,10.40,8.60,7.10,5.80,3.50,3.40,2.10,60.20,52.30,39.80,47.70,5.40,4.60,4.10,3.00,11.20,9.10,8.50,9.90,1.20,0.80,1.00,1.00,0.50,1.30,1.40,1.80,0,0,0.10,0.10
3,14898088,"Премьер-Лига, 38-й тур, регулярный сезон, 26.07.2020 18:00",26.07.2020 18:00,Кристал Пэлас,1,Тоттенхэм,1,+13°C,переменная облачность,8.3,4.65,1.5,2.13,1.87,10,10,(138) 5.8,7.0 (167),30%   3,5   50%,0,3   30%,70%   7,2   20%,6,14,17,10,0.60,1.40,1.70,1.00,30%   3,4   40%,10%   1,5   50%,30%   3,5   50%,70%   7,5   50%,9.50,9.90,13.70,13.40,2.90,3.30,5.40,4.70,44.00,49.90,56.00,50.10,4.70,6.10,6.30,5.70,11.80,13.70,13.20,13.10,1.30,1.60,0.60,1.50,1.60,2.50,1.80,2.30,0.10,0,0,0
4,14898089,"Премьер-Лига, 38-й тур, регулярный сезон, 26.07.2020 18:00",26.07.2020 18:00,Эвертон,1,Борнмут,3,+11°C,переменная облачность,2.46,3.82,3.0,2.2,1.82,10,10,(141) 5.9,7.0 (169),30%   3,1   10%,40%   4,2   20%,30%   3,7   70%,7,11,12,21,0.70,1.10,1.20,2.10,30%   3,1   10%,40%   4,6   60%,30%   3,6   60%,70%   7,4   40%,9.10,8.20,12.80,13.00,2.90,2.60,3.90,5.10,43.70,39.80,56.30,60.20,4.00,5.90,5.80,7.10,13.60,11.10,11.00,10.30,1.40,2.50,1.00,1.70,2.10,2.00,1.60,1.30,0,0,0,0.10
5,14898090,"Премьер-Лига, 38-й тур, регулярный сезон, 26.07.2020 18:00",26.07.2020 18:00,Лестер Сити,0,Ман Юнайтед,2,+11°C,переменная облачность,3.8,3.65,2.15,2.11,1.89,10,10,(167) 7.0,3.9 (93),30%   3,5   50%,30%   3,4   40%,40%   4,1   10%,13,21,12,9,1.30,2.10,1.20,0.90,40%   4,5   50%,40%   4,5   50%,50%   5,6   60%,50%   5,4   40%,13.70,15.10,6.90,9.20,4.60,5.90,3.00,3.00,60.20,60.90,39.80,39.10,6.50,6.20,4.50,3.80,12.10,11.20,11.40,11.50,1.40,1.70,2.10,1.50,1.20,1.40,1.20,0.80,0.10,0,0.10,0.10
6,14898091,"Премьер-Лига, 38-й тур, регулярный сезон, 26.07.2020 18:00",26.07.2020 18:00,Ман Сити,5,Норвич Сити,0,+11°C,пасмурно,1.06,24.0,58.0,5.35,1.11,10,10,(117) 4.9,7.9 (189),70%   7,0,0,1   10%,30%   3,9   90%,28,1,6,19,2.80,0.10,0.60,1.90,60%   6,1   10%,20%   2,1   10%,70%   7,4   40%,30%   3,6   60%,18.60,8.70,6.80,16.30,6.20,1.80,2.40,6.00,69.80,47.90,30.20,52.10,7.20,3.50,2.10,6.80,8.10,9.60,8.60,11.90,1.70,1.70,3.00,0.50,0.70,1.40,1.10,1.00,0.10,0.30,0,0
7,14898092,"Премьер-Лига, 38-й тур, регулярный сезон, 26.07.2020 18:00",26.07.2020 18:00,Ньюкасл,1,Ливерпуль,3,+14°C,солнечно,6.45,4.6,1.59,2.38,1.6,10,10,(141) 5.9,3.8 (90),30%   3,5   50%,30%   3,2   20%,40%   4,3   30%,13,24,16,14,1.30,2.40,1.60,1.40,30%   3,4   40%,50%   5,5   50%,60%   6,7   70%,40%   4,3   30%,10.90,17.89,12.30,7.89,4.30,7.22,4.40,3.56,45.00,64.56,55.00,35.44,4.20,8.67,5.90,2.89,10.90,11.22,13.10,9.89,1.60,1.33,1.00,3.44,1.80,1.44,1.20,1.44,0,0,0.20,0
8,14898093,"Премьер-Лига, 38-й тур, регулярный сезон, 26.07.2020 18:00",26.07.2020 18:00,Саутгемптон,3,Шеффилд Ютд,1,+10°C,небольшой дождь,2.03,3.85,3.98,2.11,1.89,10,10,(169) 7.0,5.9 (141),40%   4,3   30%,30%   3,2   20%,30%   3,5   50%,14,9,11,13,1.40,0.90,1.10,1.30,30%   3,3   30%,50%   5,3   30%,40%   4,5   50%,60%   6,5   50%,12.20,7.00,11.50,10.40,5.10,2.40,4.00,4.60,52.20,43.00,47.80,57.00,5.50,5.10,6.60,5.40,11.10,11.00,11.80,10.50,1.20,1.70,1.80,1.60,1.20,1.10,1.80,0.80,0.20,0.10,0,0
9,14898094,"Премьер-Лига, 38-й тур, регулярный сезон, 26.07.2020 18:00",26.07.2020 18:00,Вест Хэм,1,Астон Вилла,1,+13°C,переменная облачность,2.7,3.76,2.73,2.13,1.87,10,10,(93) 3.9,4.8 (114),40%   4,2   20%,20%   2,3   30%,40%   4,5   50%,16,6,13,14,1.60,0.60,1.30,1.40,10%   1,3   30%,50%   5,3   30%,50%   5,3   30%,50%   5,7   70%,12.70,9.80,11.40,10.30,4.60,3.50,4.10,3.50,40.90,39.90,59.10,60.10,5.40,5.10,4.90,5.80,8.80,12.30,9.60,15.90,0.90,1.20,2.10,1.00,1.00,1.50,1.40,2.10,0,0,0,0.10
