,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,15178227,"Примера, 38-й тур, регулярный сезон, 23.05.2021 22:00",23.05.2021 22:00,Севилья,1,Алавес,0,+15°C,ясно,1.33,5.55,9.4,2.36,1.56,10,10,(169) 7.0,7.0 (169),60%   6,4   40%,20%   2,3   30%,20%   2,3   30%,14,13,13,13,1.40,1.30,1.30,1.30,30%   3,3   30%,50%   5,5   50%,50%   5,5   50%,50%   5,5   50%,12.50,9.50,7.60,8.60,4.30,3.90,3.20,3.70,59.50,46.90,40.50,53.10,4.20,5.30,4.00,5.20,12.20,12.00,13.20,15.10,1.50,1.90,1.20,2.60,1.70,2.10,2.30,2.30,0.10,0.10,0,0.10
1,15178222,"Примера, 38-й тур, регулярный сезон, 23.05.2021 19:30",23.05.2021 19:30,Гранада,0,Хетафе,0,+8°C,ясно,2.93,3.32,2.52,1.84,2.07,10,10,(167) 7.0,7.0 (167),30%   3,2   20%,0,3   30%,70%   7,5   50%,13,7,20,11,1.30,0.70,2.00,1.10,0,3   30%,70%   7,3   30%,70%   7,2   20%,30%   3,8   80%,8.40,10.80,11.60,6.70,3.20,3.60,4.50,2.60,39.60,38.20,60.40,61.80,4.00,4.10,4.70,3.50,13.80,15.90,11.40,13.70,2.40,2.10,1.30,2.20,3.20,2.70,2.20,2.00,0.10,0.10,0,0
2,15178220,"Примера, 38-й тур, регулярный сезон, 22.05.2021 19:00",22.05.2021 19:00,Сельта,2,Бетис,3,+16°C,небольшой дождь,3.25,3.72,2.16,2.07,1.72,10,10,(142) 5.9,5.9 (142),60%   6,3   30%,10%   1,7   70%,30%   3,0,19,11,14,7,1.90,1.10,1.40,0.70,30%   3,4   40%,70%   7,6   60%,70%   7,2   20%,30%   3,8   80%,8.20,10.10,13.10,9.70,4.00,4.10,4.80,3.00,47.50,50.20,52.50,49.80,2.70,4.10,5.10,4.30,15.70,13.00,12.40,12.40,2.30,2.30,1.10,2.90,2.30,2.30,2.90,1.90,0.20,0.10,0.30,0.10
3,15178221,"Примера, 38-й тур, регулярный сезон, 22.05.2021 19:00",22.05.2021 19:00,Эйбар,0,Барселона,1,+14°C,переменная облачность,5.25,4.65,1.58,2.7,1.44,10,10,(142) 5.9,5.9 (142),20%   2,5   50%,20%   2,2   20%,60%   6,3   30%,7,21,18,14,0.70,2.10,1.80,1.40,30%   3,3   30%,30%   3,7   70%,40%   4,8   80%,60%   6,2   20%,10.22,16.10,8.78,8.90,4.00,6.20,4.33,3.50,52.44,67.90,47.56,32.10,5.89,4.30,4.33,3.60,9.56,10.30,10.22,15.80,1.67,1.70,2.11,1.40,1.89,1.90,0.89,2.10,0,0.10,0,0.30
4,15178223,"Примера, 38-й тур, регулярный сезон, 22.05.2021 19:00",22.05.2021 19:00,Уэска,0,Валенсия,0,+9°C,пасмурно,1.77,4.05,4.4,2.02,1.88,10,10,(142) 5.9,5.9 (142),40%   4,3   30%,10%   1,3   30%,50%   5,4   40%,8,18,9,16,0.80,1.80,0.90,1.60,40%   4,1   10%,20%   2,8   80%,20%   2,8   80%,80%   8,2   20%,9.90,9.90,8.60,13.20,2.90,4.10,3.70,5.10,51.10,46.50,48.90,53.50,3.30,4.60,4.20,4.90,12.90,10.70,14.20,12.40,2.60,2.30,2.50,2.20,1.60,1.80,2.10,1.60,0.10,0.10,0,0.10
5,15178225,"Примера, 38-й тур, регулярный сезон, 22.05.2021 19:00",22.05.2021 19:00,Осасуна,0,Реал Сосьедад,1,+13°C,переменная облачность,5.95,4.6,1.53,2.42,1.63,10,10,(142) 5.9,5.9 (142),40%   4,5   50%,30%   3,2   20%,30%   3,3   30%,14,15,12,10,1.40,1.50,1.20,1.00,30%   3,3   30%,60%   6,6   60%,60%   6,5   50%,40%   4,5   50%,10.11,9.60,13.11,10.30,4.11,4.00,4.33,3.30,46.22,59.10,53.78,40.90,3.44,4.40,5.89,3.00,14.22,16.20,9.89,11.60,1.33,1.50,2.11,2.50,1.89,2.10,1.22,3.00,0,0,0,0.30
6,15178226,"Примера, 38-й тур, регулярный сезон, 22.05.2021 19:00",22.05.2021 19:00,Реал Мадрид,2,Вильярреал,1,+11°C,переменная облачность,1.59,4.8,6.05,2.52,1.5,10,10,(142) 5.9,5.9 (142),40%   4,6   60%,50%   5,1   10%,10%   1,3   30%,13,20,6,11,1.30,2.00,0.60,1.10,60%   6,4   40%,30%   3,6   60%,30%   3,7   70%,70%   7,3   30%,12.90,10.90,10.90,11.70,4.10,5.00,3.90,3.50,59.30,55.50,40.70,44.50,5.50,4.90,4.20,3.70,10.70,10.90,12.60,12.00,1.70,2.00,1.20,2.70,2.00,1.30,2.50,2.00,0,0.40,0.10,0.30
7,15178228,"Примера, 38-й тур, регулярный сезон, 22.05.2021 19:00",22.05.2021 19:00,Реал Вальядолид,1,Атлетико Мадрид,2,+11°C,переменная облачность,11.0,6.0,1.34,2.43,1.69,10,10,(142) 5.9,5.9 (142),0,6   60%,50%   5,2   20%,50%   5,2   20%,8,15,18,6,0.80,1.50,1.80,0.60,0,5   50%,70%   7,4   40%,40%   4,4   40%,60%   6,6   60%,11.10,12.40,12.00,8.50,3.30,5.70,5.20,3.70,47.10,52.60,52.90,47.40,4.20,5.70,4.30,3.60,11.90,12.20,14.80,13.90,1.70,2.80,1.60,1.00,2.50,1.70,2.30,1.70,0.20,0,0,0
8,15178229,"Примера, 38-й тур, регулярный сезон, 22.05.2021 19:00",22.05.2021 19:00,Эльче,2,Атлетик,0,+22°C,солнечно,2.12,3.54,3.52,1.87,2.03,10,10,(142) 5.9,5.9 (142),20%   2,2   20%,30%   3,5   50%,50%   5,3   30%,8,8,14,12,0.80,0.80,1.40,1.20,10%   1,3   30%,50%   5,4   40%,20%   2,4   40%,80%   8,6   60%,7.30,9.80,10.00,11.80,2.60,3.30,3.80,3.50,51.10,42.30,48.90,57.70,5.20,4.50,3.90,6.20,15.50,12.10,14.20,11.60,1.40,2.00,1.60,1.80,3.10,1.70,2.80,1.50,0.10,0.10,0,0.10
9,15178224,"Примера, 38-й тур, регулярный сезон, 21.05.2021 22:00",21.05.2021 22:00,Леванте,2,Кадис,2,+17°C,солнечно,1.71,4.1,4.75,2.34,1.57,10,10,(121) 5.0,5.0 (121),10%   1,4   40%,20%   2,2   20%,70%   7,4   40%,8,11,20,14,0.80,1.10,2.00,1.40,10%   1,3   30%,40%   4,6   60%,40%   4,6   60%,60%   6,4   40%,8.10,7.80,10.60,12.90,2.40,2.90,4.10,4.30,50.70,35.30,49.30,64.70,4.00,4.60,4.20,6.30,12.50,11.90,10.30,13.10,2.00,1.40,3.10,2.20,1.90,2.50,2.30,2.50,0,0,0.10,0.10
