,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,14919449,"Серия А, 38-й тур, регулярный сезон, 02.08.2020 21:45",02.08.2020 21:45,Болонья,1,Торино,1,+19°C,переменная облачность,1.88,4.45,4.05,3.1,1.35,10,10,(94) 3.9,3.9 (94),30%   3,2   20%,30%   3,2   20%,40%   4,6   60%,13,15,20,21,1.30,1.50,2.00,2.10,0,1   10%,80%   8,8   80%,70%   7,7   70%,30%   3,3   30%,12.00,13.20,14.80,14.50,4.70,4.50,7.20,5.40,49.70,49.00,50.30,51.00,5.70,5.10,6.70,5.00,16.10,15.30,15.00,14.90,2.50,1.00,1.00,1.80,1.70,2.00,2.20,2.80,0.10,0,0.10,0
1,14919451,"Серия А, 38-й тур, регулярный сезон, 02.08.2020 21:45",02.08.2020 21:45,Дженоа,3,Верона,0,+20°C,переменная облачность,1.7,4.6,5.05,2.6,1.51,10,10,(96) 4.0,4.0 (96),30%   3,2   20%,20%   2,5   50%,50%   5,3   30%,12,16,22,19,1.20,1.60,2.20,1.90,10%   1,1   10%,60%   6,8   80%,90%   9,6   60%,10%   1,4   40%,10.10,11.70,13.70,14.30,4.10,5.50,5.30,5.20,48.50,51.00,51.50,49.00,4.10,5.60,5.10,5.00,13.70,14.10,13.20,13.20,1.90,2.10,1.50,0.80,2.00,2.00,2.30,2.60,0,0,0,0
2,14919453,"Серия А, 38-й тур, регулярный сезон, 02.08.2020 21:45",02.08.2020 21:45,Лечче,3,Парма,4,+20°C,переменная облачность,1.59,5.3,5.4,3.38,1.33,10,10,(96) 4.0,5.0 (120),30%   3,2   20%,10%   1,1   10%,60%   6,7   70%,14,15,21,21,1.40,1.50,2.10,2.10,10%   1,0,80%   8,10   100%,90%   9,10   100%,10%   1,0,14.30,11.70,15.30,16.70,5.40,3.70,6.80,5.60,45.30,46.40,54.70,53.60,5.70,3.30,7.30,4.40,10.80,12.60,11.80,14.80,2.20,1.60,2.10,1.80,2.30,1.90,1.80,2.60,0.10,0.10,0.10,0.10
3,14919456,"Серия А, 38-й тур, регулярный сезон, 02.08.2020 21:45",02.08.2020 21:45,Сассуоло,0,Удинезе,1,+13°C,туман,1.89,4.35,4.1,2.94,1.38,10,10,(96) 4.0,4.0 (96),50%   5,4   40%,30%   3,2   20%,20%   2,4   40%,24,15,16,13,2.40,1.50,1.60,1.30,10%   1,4   40%,80%   8,6   60%,80%   8,7   70%,20%   2,3   30%,13.10,9.90,11.70,14.90,5.70,3.90,4.20,6.10,56.90,43.80,43.10,56.20,5.50,4.30,4.40,6.30,12.40,12.60,14.30,10.80,1.80,1.80,1.80,0.70,2.50,1.60,3.00,2.50,0.10,0,0.10,0.10
4,14919457,"Серия А, 38-й тур, регулярный сезон, 02.08.2020 19:00",02.08.2020 19:00,СПАЛ,1,Фиорентина,3,+19°C,переменная облачность,7.9,5.45,1.44,2.68,1.59,10,10,(93) 3.9,3.8 (91),0,4   40%,20%   2,3   30%,80%   8,3   30%,6,15,29,10,0.60,1.50,2.90,1.00,0,4   40%,50%   5,6   60%,80%   8,6   60%,20%   2,4   40%,10.10,12.30,17.80,11.60,2.90,4.60,7.00,3.90,44.40,47.40,55.60,52.60,3.60,3.80,6.50,5.50,12.20,13.00,12.90,13.10,1.10,1.20,1.50,2.80,1.70,2.90,1.10,2.30,0.20,0.10,0,0
5,14919448,"Серия А, 38-й тур, регулярный сезон, 01.08.2020 21:45",01.08.2020 21:45,Аталанта,0,Интер,2,+15°C,переменная облачность,2.76,3.88,2.62,2.6,1.47,10,10,(96) 4.0,3.9 (94),70%   7,6   60%,30%   3,3   30%,0,1   10%,21,25,9,8,2.10,2.50,0.90,0.80,40%   4,5   50%,60%   6,5   50%,40%   4,8   80%,60%   6,2   20%,14.70,15.40,10.50,9.70,6.10,6.70,4.10,2.60,55.40,59.30,44.60,40.70,5.20,6.90,4.00,3.90,14.20,13.90,15.00,13.00,0.90,2.80,1.70,0.50,1.70,2.70,1.90,2.30,0,0.20,0.10,0.20
6,14919452,"Серия А, 38-й тур, регулярный сезон, 01.08.2020 21:45",01.08.2020 21:45,Ювентус,1,Рома,3,+11°C,переменная облачность,2.38,3.95,3.06,2.64,1.46,10,10,(70) 2.9,2.9 (70),50%   5,6   60%,20%   2,1   10%,30%   3,3   30%,23,21,16,14,2.30,2.10,1.60,1.40,20%   2,1   10%,70%   7,7   70%,80%   8,8   80%,20%   2,2   20%,19.10,15.00,11.90,11.00,7.50,5.20,4.90,4.10,56.80,51.00,43.20,49.00,6.70,6.50,3.90,4.70,13.10,15.00,13.10,11.30,1.80,0.90,1.70,2.40,2.40,2.50,2.60,1.90,0,0.10,0.20,0.10
7,14919454,"Серия А, 38-й тур, регулярный сезон, 01.08.2020 21:45",01.08.2020 21:45,Милан,3,Кальяри,0,+16°C,переменная облачность,1.27,7.2,13.25,3.04,1.36,10,10,(72) 3.0,2.9 (70),70%   7,2   20%,30%   3,4   40%,0,4   40%,28,9,11,11,2.80,0.90,1.10,1.10,20%   2,3   30%,80%   8,4   40%,80%   8,3   30%,20%   2,7   70%,16.70,10.70,11.00,17.80,7.10,3.90,3.80,6.90,54.30,42.30,45.70,57.70,5.30,3.10,5.10,7.20,14.30,12.90,11.50,13.80,2.10,1.50,1.70,2.20,1.90,2.10,1.60,1.50,0.10,0.20,0.20,0
8,14919455,"Серия А, 38-й тур, регулярный сезон, 01.08.2020 21:45",01.08.2020 21:45,Наполи,3,Лацио,1,+21°C,переменная облачность,2.14,4.2,3.35,2.86,1.4,10,10,(94) 3.9,3.0 (72),50%   5,5   50%,20%   2,1   10%,30%   3,4   40%,15,16,13,13,1.50,1.60,1.30,1.30,10%   1,2   20%,70%   7,7   70%,60%   6,8   80%,40%   4,2   20%,18.10,14.30,7.20,12.70,7.10,5.40,2.90,4.40,57.00,51.90,43.00,48.10,5.70,7.00,3.60,3.70,10.20,12.40,14.90,11.90,1.20,2.20,2.00,1.00,1.20,2.60,2.50,1.90,0,0.10,0.10,0.10
9,14919450,"Серия А, 38-й тур, регулярный сезон, 01.08.2020 19:00",01.08.2020 19:00,Брешиа,1,Сампдория,1,+18°C,переменная облачность,4.15,4.05,1.93,3.32,1.31,10,10,(69) 2.9,2.9 (69),20%   2,5   50%,10%   1,0,70%   7,5   50%,11,17,28,16,1.10,1.70,2.80,1.60,10%   1,2   20%,60%   6,6   60%,80%   8,8   80%,20%   2,2   20%,11.30,14.10,17.70,13.00,3.80,5.30,8.00,4.70,43.80,45.80,56.20,54.20,4.50,6.20,5.50,6.00,13.10,13.70,14.20,12.90,0.60,1.30,1.60,1.90,2.20,2.40,1.30,1.60,0,0.10,0,0
