,id,общая информация,Дата,Команда1,счет1,Команда2,счет2,Температура,Признак погоды,поб1,X,поб2,ТМ 2.5,ТБ 2.5,Матчи 1,Матчи 2,Отдых: дни (часы) 1,Отдых: дни (часы) 2,Победы 1,Победы 2,Ничьи 1,Ничьи 2,Поражения 1,Поражения 2,Забито голов 1,Забито голов 2,Пропущено голов 1,Пропущено голов 2,Забито голов за игру 1,Забито голов за игру 2,Пропущено голов за игру 1,Пропущено голов за игру 2,Сухие матчи 1,Сухие матчи 2,обе забьют 1,обе забьют 2,Тотал больше 2.5 1,Тотал больше 2.5 2,Тотал меньше 2.5 1,Тотал меньше 2.5 2,Удары 1,Удары 2,Удары  (соперник) 1,Удары  (соперник) 2,Удары в створ 1,Удары в створ 2,Удары в створ  (соперник) 1,Удары в створ  (соперник) 2,Владение 1,Владение 2,Владение  (соперник) 1,Владение  (соперник) 2,Угловые 1,Угловые 2,Угловые  (соперник) 1,Угловые  (соперник) 2,Нарушения 1,Нарушения 2,Нарушения  (соперник) 1,Нарушения  (соперник) 2,Офсайды 1,Офсайды 2,Офсайды  (соперник) 1,Офсайды  (соперник) 2,Желтые карточки 1,Желтые карточки 2,Желтые карточки  (соперник) 1,Желтые карточки  (соперник) 2,Красные карточки 1,Красные карточки 2,Красные карточки  (соперник) 1,Красные карточки  (соперник) 2
0,1737501,"Лига 1, 38-й тур, регулярный сезон, 03.06.2023 22:00",03.06.2023 22:00,Аяччо,1,Марсель,0,+16°C,переменная облачность,6.85,4.55,1.46,2.11,1.78,10,10,(167) 7.0,7.0 (167),0,5   50%,20%   2,2   20%,80%   8,3   30%,2,16,26,12,0.20,1.60,2.60,1.20,20%   2,1   10%,20%   2,9   90%,70%   7,8   80%,30%   3,2   20%,5.40,15.20,12.10,9.90,1.20,4.20,5.10,3.30,38.50,58.90,61.50,41.10,2.40,5.60,6.10,3.40,13.40,14.90,12.80,10.70,1.90,2.50,1.40,0.60,2.40,1.60,1.50,2.00,0.50,0,0.10,0
1,1737502,"Лига 1, 38-й тур, регулярный сезон, 03.06.2023 22:00",03.06.2023 22:00,Осер,1,Ланс,3,+13°C,небольшой ливневый дождь,3.14,3.68,2.17,2.17,1.74,10,10,(167) 7.0,7.0 (167),30%   3,9   90%,30%   3,0,40%   4,1   10%,11,21,11,7,1.10,2.10,1.10,0.70,20%   2,5   50%,60%   6,5   50%,40%   4,8   80%,60%   6,2   20%,11.50,12.70,14.20,11.10,3.90,5.60,4.80,3.10,39.80,51.50,60.20,48.50,3.00,4.70,5.90,4.80,11.70,10.30,11.40,13.90,0.60,1.00,2.90,1.30,1.10,1.50,0.80,1.90,0,0.20,0,0.10
2,1737503,"Лига 1, 38-й тур, регулярный сезон, 03.06.2023 22:00",03.06.2023 22:00,Монако,1,Тулуза,2,+16°C,умеренный дождь,1.36,5.65,7.1,3.4,1.28,10,10,(167) 7.0,7.0 (167),30%   3,4   40%,30%   3,4   40%,40%   4,2   20%,13,12,20,7,1.30,1.20,2.00,0.70,10%   1,4   40%,60%   6,5   50%,70%   7,4   40%,30%   3,6   60%,11.33,12.10,13.78,11.30,5.67,4.80,5.89,3.60,44.33,53.10,55.67,46.90,4.44,5.80,4.67,3.80,14.00,12.70,11.67,11.50,2.33,2.00,0.78,0.90,1.78,1.30,1.22,2.30,0.11,0,0,0
3,1737504,"Лига 1, 38-й тур, регулярный сезон, 03.06.2023 22:00",03.06.2023 22:00,Нант,1,Анже,0,+15°C,в отдельных районах умеренный или сильный дождь с грозой,1.5,4.55,6.1,2.22,1.6,10,10,(167) 7.0,7.0 (167),10%   1,2   20%,30%   3,2   20%,60%   6,6   60%,8,12,20,20,0.80,1.20,2.00,2.00,20%   2,1   10%,50%   5,8   80%,60%   6,8   80%,40%   4,2   20%,11.80,8.90,11.70,11.80,4.40,3.40,5.30,4.70,46.40,44.30,53.60,55.70,6.60,4.90,5.10,5.30,14.20,11.80,11.30,12.50,1.50,0.90,1.60,1.60,2.30,1.60,1.20,1.00,0,0,0,0.20
4,1737505,"Лига 1, 38-й тур, регулярный сезон, 03.06.2023 22:00",03.06.2023 22:00,Лорьян,2,Страсбур,1,+12°C,в отдельных районах умеренный или сильный дождь с грозой,3.02,3.6,2.26,2.19,1.73,10,10,(167) 7.0,7.0 (167),20%   2,5   50%,30%   3,2   20%,50%   5,3   30%,10,18,16,11,1.00,1.80,1.60,1.10,10%   1,4   40%,70%   7,6   60%,50%   5,4   40%,50%   5,6   60%,8.60,12.40,14.90,9.50,3.30,4.60,4.50,4.10,48.40,44.30,51.60,55.70,2.70,3.60,6.60,4.20,12.10,14.40,15.80,14.70,1.10,0.70,0.80,1.50,2.00,1.70,1.70,2.30,0.30,0.20,0.10,0.30
5,1737506,"Лига 1, 38-й тур, регулярный сезон, 03.06.2023 22:00",03.06.2023 22:00,Ницца,3,Лион,1,+15°C,переменная облачность,2.53,4.35,2.64,3.1,1.33,10,10,(167) 7.0,7.0 (167),30%   3,7   70%,20%   2,0,50%   5,3   30%,10,21,14,13,1.00,2.10,1.40,1.30,20%   2,2   20%,50%   5,7   70%,50%   5,8   80%,50%   5,2   20%,17.00,14.00,11.30,12.20,6.80,4.60,4.40,5.20,52.00,57.80,48.00,42.20,7.00,4.30,3.70,5.10,12.20,13.10,10.20,14.60,1.80,2.00,1.20,2.20,2.10,2.10,1.00,2.00,0,0.10,0,0.10
6,1737507,"Лига 1, 38-й тур, регулярный сезон, 03.06.2023 22:00",03.06.2023 22:00,ПСЖ,2,Клермон,3,+12°C,умеренный дождь,1.32,5.95,8.0,3.48,1.27,10,10,(167) 7.0,7.0 (167),60%   6,7   70%,10%   1,1   10%,30%   3,2   20%,19,16,11,9,1.90,1.60,1.10,0.90,20%   2,3   30%,60%   6,7   70%,60%   6,6   60%,40%   4,4   40%,15.30,11.30,13.00,11.20,5.90,4.70,4.80,3.70,62.10,49.50,37.90,50.50,5.30,4.10,4.90,4.50,8.40,12.20,9.80,15.80,2.00,1.10,1.30,1.70,1.10,1.50,1.30,2.40,0.20,0.30,0.20,0.20
7,1737508,"Лига 1, 38-й тур, регулярный сезон, 03.06.2023 22:00",03.06.2023 22:00,Брест,1,Ренн,2,+12°C,солнечно,4.65,4.15,1.68,2.3,1.67,10,10,(167) 7.0,7.0 (167),60%   6,6   60%,30%   3,0,10%   1,4   40%,15,22,8,9,1.50,2.20,0.80,0.90,40%   4,5   50%,60%   6,3   30%,50%   5,6   60%,50%   5,4   40%,12.50,14.80,10.80,8.80,4.30,5.10,3.90,2.70,47.00,55.90,53.00,44.10,4.40,5.50,3.60,4.10,14.30,12.10,11.90,10.70,1.40,1.20,1.30,2.60,1.40,1.20,2.10,1.70,0,0,0.30,0.20
8,1737509,"Лига 1, 38-й тур, регулярный сезон, 03.06.2023 22:00",03.06.2023 22:00,Реймс,1,Монпелье,3,+12°C,умеренный дождь,1.83,4.25,3.72,2.94,1.36,10,10,(167) 7.0,7.0 (167),20%   2,4   40%,20%   2,2   20%,60%   6,4   40%,9,20,16,15,0.90,2.00,1.60,1.50,20%   2,3   30%,40%   4,7   70%,60%   6,7   70%,40%   4,3   30%,13.90,13.50,12.30,14.70,4.30,5.60,5.00,6.20,55.60,42.30,44.40,57.70,6.10,6.10,4.30,5.10,13.70,13.60,10.30,14.50,2.60,1.50,1.20,1.30,1.60,1.70,1.40,2.00,0.10,0.20,0.20,0
9,1737510,"Лига 1, 38-й тур, регулярный сезон, 03.06.2023 22:00",03.06.2023 22:00,Труа,1,Лилль,1,+13°C,переменная облачность,14.0,8.3,1.17,3.92,1.22,10,10,(167) 7.0,7.0 (167),0,6   60%,30%   3,2   20%,70%   7,2   20%,8,15,21,7,0.80,1.50,2.10,0.70,0,3   30%,60%   6,5   50%,60%   6,5   50%,40%   4,5   50%,8.40,13.60,20.20,7.70,3.10,4.90,7.00,2.60,42.00,63.00,58.00,37.00,3.70,5.90,8.00,3.80,10.00,11.50,9.90,15.10,1.40,1.10,1.10,2.80,1.10,1.90,0.80,2.00,0.10,0,0.10,0.10
10,1737491,"Лига 1, 37-й тур, регулярный сезон, 27.05.2023 22:00",27.05.2023 22:00,Анже,2,Труа,1,+11°C,переменная облачность,1.74,4.2,4.2,2.59,1.45,10,10,(149) 6.2,6.2 (149),10%   1,0,20%   2,3   30%,70%   7,7   70%,10,7,21,21,1.00,0.70,2.10,2.10,10%   1,0,70%   7,5   50%,70%   7,5   50%,30%   3,5   50%,8.40,8.80,12.10,20.00,3.10,3.00,4.90,7.10,42.30,42.80,57.70,57.20,4.10,3.80,5.80,6.70,11.40,10.30,12.90,9.80,0.80,1.40,1.80,1.10,1.50,1.20,1.00,0.70,0,0.10,0.20,0.10
11,1737492,"Лига 1, 37-й тур, регулярный сезон, 27.05.2023 22:00",27.05.2023 22:00,Клермон,2,Лорьян,0,+16°C,умеренный дождь,2.22,3.42,3.24,1.82,2.06,10,10,(149) 6.2,6.1 (146),60%   6,3   30%,10%   1,3   30%,30%   3,4   40%,14,12,13,14,1.40,1.20,1.30,1.40,20%   2,2   20%,70%   7,7   70%,70%   7,5   50%,30%   3,5   50%,10.40,9.60,11.90,14.00,4.60,3.80,4.20,4.00,49.60,48.20,50.40,51.80,3.80,2.70,4.80,6.10,12.20,12.00,15.90,15.50,1.00,1.20,2.00,0.80,1.60,2.00,2.60,1.90,0.30,0.30,0.20,0.10
12,1737493,"Лига 1, 37-й тур, регулярный сезон, 27.05.2023 22:00",27.05.2023 22:00,Лилль,2,Нант,1,+13°C,небольшой дождь,1.42,4.75,7.4,2.17,1.74,10,10,(167) 7.0,7.1 (171),50%   5,1   10%,30%   3,3   30%,20%   2,6   60%,16,7,9,21,1.60,0.70,0.90,2.10,30%   3,2   20%,50%   5,4   40%,50%   5,6   60%,50%   5,4   40%,13.50,12.20,7.50,12.20,5.30,4.70,2.80,6.00,62.00,47.80,38.00,52.20,5.80,6.60,3.50,5.00,12.80,14.00,15.80,11.90,1.10,1.50,2.80,1.60,2.20,2.00,2.00,1.20,0,0,0.10,0
13,1737494,"Лига 1, 37-й тур, регулярный сезон, 27.05.2023 22:00",27.05.2023 22:00,Монпелье,2,Ницца,3,+20°C,солнечно,2.36,3.64,2.84,2.15,1.75,10,10,(171) 7.1,6.2 (149),50%   5,2   20%,20%   2,3   30%,30%   3,5   50%,19,8,12,13,1.90,0.80,1.20,1.30,40%   4,2   20%,60%   6,5   50%,60%   6,4   40%,40%   4,6   60%,13.30,15.90,13.10,11.20,5.20,5.60,4.80,4.20,42.80,53.00,57.20,47.00,6.20,6.20,4.20,4.00,14.20,11.70,14.20,9.80,1.40,1.70,1.20,1.20,1.90,1.90,1.90,1.10,0.20,0,0,0
14,1737495,"Лига 1, 37-й тур, регулярный сезон, 27.05.2023 22:00",27.05.2023 22:00,Лион,3,Реймс,0,+18°C,солнечно,1.67,4.55,4.33,3.28,1.3,10,10,(191) 8.0,6.2 (149),60%   6,3   30%,10%   1,2   20%,30%   3,5   50%,19,10,14,13,1.90,1.00,1.40,1.30,10%   1,3   30%,80%   8,4   40%,70%   7,5   50%,30%   3,5   50%,12.80,14.60,12.30,11.40,4.50,5.00,5.60,4.60,59.00,56.20,41.00,43.80,4.10,6.00,4.90,3.90,13.40,13.60,13.80,10.20,1.70,2.30,2.30,1.10,2.00,1.70,2.00,1.40,0.10,0,0,0.20
15,1737496,"Лига 1, 37-й тур, регулярный сезон, 27.05.2023 22:00",27.05.2023 22:00,Марсель,1,Брест,2,+22°C,пасмурно,1.27,5.95,10.5,2.53,1.47,10,10,(167) 7.0,6.2 (149),50%   5,5   50%,30%   3,3   30%,20%   2,2   20%,17,14,12,9,1.70,1.40,1.20,0.90,10%   1,4   40%,90%   9,6   60%,80%   8,5   50%,20%   2,5   50%,14.90,11.70,10.80,11.50,4.20,4.00,3.70,4.30,56.70,47.20,43.30,52.80,5.40,4.50,3.70,3.60,14.10,13.30,10.60,11.70,2.50,1.50,0.70,1.30,1.40,1.30,2.20,2.00,0.10,0,0,0.30
16,1737497,"Лига 1, 37-й тур, регулярный сезон, 27.05.2023 22:00",27.05.2023 22:00,Ланс,3,Аяччо,0,+12°C,умеренный дождь,1.16,7.5,18.5,2.22,1.6,10,10,(146) 6.1,6.3 (151),90%   9,0,0,2   20%,10%   1,8   80%,22,2,7,24,2.20,0.20,0.70,2.40,50%   5,2   20%,50%   5,2   20%,80%   8,6   60%,20%   2,4   40%,12.80,5.50,11.40,12.10,5.90,1.30,3.70,5.20,48.90,41.20,51.10,58.80,4.20,2.30,5.20,5.50,10.40,13.50,14.00,13.40,1.20,1.80,1.20,1.20,1.60,2.40,1.80,1.60,0.20,0.50,0.10,0.10
